n_sites,n_defects,defect_density,defect_strength,arrangement_mode,defect_sites,mean_defect_distance,clustering_index,energy_gap,energy_bandwidth,mean_ipr,max_ipr,transport_descriptor,trial
40,3,0.075,2.036074539132183,spread,0;19;39,19.5,0.04878048780487805,0.153810874682637,4.831734395792914,0.08975126347042603,0.5382367504866828,0.8585524063055809,0
40,6,0.15,2.9407881017077737,spread,0;7;15;23;31;39,7.8,0.11363636363636363,0.25342608372333686,5.440938488108864,0.12452344097598307,0.7927168884225964,0.7846069894440207,1
40,4,0.1,3.914678230728646,random,27;28;31;38,3.6666666666666665,0.2142857142857143,0.11177955711779308,7.106548565171341,0.15727672911542845,0.8104826272402201,0.7953698472599278,2
40,6,0.15,1.7977930848140344,random,15;21;23;28;32;38,4.6,0.17857142857142858,0.3323008178030855,4.855803571037356,0.1353885267945712,0.4825032762303882,0.7779748917580144,3
40,10,0.25,3.396709101974037,random,2;5;8;12;17;20;24;25;35;36,3.7777777777777777,0.20930232558139536,0.2216217788179473,6.534964102183428,0.24025255317501815,0.45075233673413184,0.6710272013085812,4
40,4,0.1,2.890671336348591,spread,0;13;26;39,13.0,0.07142857142857142,0.06730580469299552,5.46582157848445,0.09737533828408815,0.771137766985631,0.8351600104216786,5
40,8,0.2,3.886284063519735,clustered,10;11;12;13;14;15;16;17,1.0,0.5,0.13698850832332576,7.757826465744569,0.10145918693366658,0.17059371416892677,0.7683683130748599,6
40,10,0.25,2.1434453394653277,clustered,24;25;26;27;28;29;30;31;32;33,1.0,0.5,0.0880161136283153,6.056344835767211,0.0772180574996435,0.20447530876675912,0.7534556920389615,7
40,4,0.1,0.9547252686741508,spread,0;13;26;39,13.0,0.07142857142857142,0.1266640721816965,4.179476752856887,0.04775515142319379,0.12992741834782673,0.8712659653585694,8
40,6,0.15,1.2941827216780943,clustered,23;24;25;26;27;28,1.0,0.5,0.13210458643345024,5.1268082614164445,0.06553936987372619,0.18556152528655828,0.8226800585684716,9
40,10,0.25,3.414373686202431,clustered,19;20;21;22;23;24;25;26;27;28,1.0,0.5,0.07242463054578252,7.315789776983863,0.09916818449338027,0.15386171544812016,0.7411974366824439,10
40,8,0.2,1.5932832448371437,spread,0;5;11;16;22;27;33;39,5.571428571428571,0.15217391304347827,0.09676515099061955,4.430220214420814,0.09615662697508649,0.47452447252194524,0.7715116978831148,11
40,9,0.225,3.3166752512388067,spread,0;4;9;14;19;24;29;34;39,4.875,0.1702127659574468,0.07769685195779363,5.620388207924052,0.1293625478307276,0.832967386799622,0.7383547349280238,12
40,6,0.15,1.5091483637558545,random,5;7;22;23;31;32,5.4,0.15625,0.2426922271934906,4.869867269380094,0.09609501002892708,0.2576956995537189,0.8025070255090628,13
