feature,rf_importance
clustering_index,0.5817748745515301
max_ipr,0.22012324653433532
mean_defect_distance,0.07498397089199374
energy_bandwidth,0.054645726493757256
defect_strength,0.03960672806762402
energy_gap,0.02886545346075955
