case,arrangement_mode,n_sites,n_defects,defect_density,defect_strength,defect_sites,mean_defect_distance,clustering_index,energy_gap,energy_bandwidth,mean_ipr,max_ipr,transport_descriptor
Clean system,clean,40,0,0.0,0.0,,,,0.15321093476014158,3.988263204734961,0.036585365853658534,0.03658536585365892,0.9647058823529412
Weak spread defects,spread,40,3,0.075,0.5,0;19;39,19.5,0.04878048780487805,0.1539431357011687,4.044296543724383,0.040991834927469536,0.12850008365216803,0.8960639036082122
Strong spread defects,spread,40,3,0.075,3.5,0;19;39,19.5,0.04878048780487805,0.15194283605904202,6.007871626345689,0.12394803125489255,0.8490566032046949,0.8340645081616579
Weak clustered defects,clustered,40,3,0.075,0.5,18;19;20,1.0,0.5,0.15336785454677493,4.229147232500905,0.046444901682905645,0.20002852254518125,0.8917067601799622
Strong clustered defects,clustered,40,3,0.075,3.5,18;19;20,1.0,0.5,0.14897758248566095,6.997818861651894,0.09742365834096561,0.4245283018867928,0.8529339994853455
Random defects,random,40,3,0.075,2.0,3;26;30,13.5,0.06896551724137931,0.14000474490977655,4.84999516742401,0.09450965018329148,0.5339720346564412,0.855059212075142
Best constrained case,spread,40,3,0.075,0.5296153168126582,0;19;39,19.5,0.04878048780487805,0.154006224162768,4.05140368207784,0.041441228175574066,0.13643614335466653,0.8957032172971113
