feature,permutation_mean,permutation_std
defect_density,0.9370765298289965,0.09044601872450342
mean_ipr,0.33979955554589114,0.02396824042576316
clustering_index,0.0024512184499134466,0.00020795272151313883
defect_strength,0.00043386244910854633,5.716151978728656e-05
mean_defect_distance,0.00039715468340554655,4.682276002733462e-05
energy_bandwidth,0.00036325102802129414,5.207875724312068e-05
max_ipr,0.0002192784868490357,5.459593152895349e-05
energy_gap,3.5320722938647633e-05,1.625471754723333e-05
