sample_id,n_sites,n_defects,defect_density,defect_strength,defect_sites,mean_defect_distance,clustering_index,mean_energy,energy_gap,energy_bandwidth,mean_ipr,max_ipr,transport_descriptor
0,40,2,0.05,3.4485318876543913,26;30,4.0,0.2,0.1724265943827195,0.12812552750989356,5.988623039065989,0.0912624932659969,0.3868413087417168,0.8762226095227748
1,40,2,0.05,3.904927171383348,8;27,19.0,0.05,0.1952463585691674,0.10756005928794267,6.3614453349741495,0.11900684156599386,0.7222972926019671,0.8554269867748648
2,40,9,0.225,0.9862310149606298,4;14;17;19;23;24;26;31;37,4.125,0.1951219512195122,0.2219019783661417,0.194900706723536,4.475552305736506,0.09678903742835947,0.2706107469248728,0.7565503810998278
3,40,2,0.05,3.32776157077107,21;35,14.0,0.06666666666666667,0.16638807853855345,0.26414170993729746,5.862720192068691,0.11099022808608554,0.7433687678732102,0.8613336924019757
4,40,4,0.1,3.583172373156571,6;23;28;29,7.666666666666667,0.11538461538461536,0.35831723731565707,0.12602903272287921,6.769371255700019,0.1614658681450018,0.7694790144633135,0.792728543238756
5,40,9,0.225,1.5447928535359887,1;6;12;16;18;21;24;25;39,4.75,0.17391304347826086,0.34757839204559743,0.051661478398549066,4.901842297658792,0.135154857188507,0.4094583736398757,0.7352104024883158
6,40,1,0.025,0.8389383004287142,18,0.0,,0.02097345751071773,0.15443186646183737,4.151017108799579,0.05007679596387564,0.2223483418636577,0.9301661088345187
7,40,6,0.15,2.8310338978087715,4;8;12;17;22;24,4.0,0.2,0.42465508467131574,0.08115279278194931,5.635015120051101,0.13833102991700996,0.38900175384142743,0.7761980242487964
8,40,2,0.05,3.238580994237527,12;30,18.0,0.05263157894736842,0.1619290497118763,0.2074921972388069,5.777988139432024,0.09783393289953497,0.3672853191171258,0.8712061660992259
9,40,11,0.275,2.3180906642162857,0;5;7;9;11;22;23;27;30;31;37,3.7,0.2127659574468085,0.6374749326594785,0.21142100801892588,5.551631198444079,0.20119055681993553,0.6688391584892354,0.6774193178380962
10,40,1,0.025,0.5466672867902964,5,0.0,,0.01366668216975737,0.15297294053067145,4.059557750231075,0.04158262441438606,0.15678605542723387,0.9375738710810674
11,40,6,0.15,2.280907926907113,3;17;22;23;32;35,6.4,0.13513513513513511,0.3421361890360669,0.11578239898923082,5.540947772517724,0.16358491607847375,0.5905418668643592,0.7612754895095492
12,40,10,0.25,2.681474407434891,1;7;9;10;11;15;19;35;38;39,4.222222222222222,0.19148936170212766,0.6703686018587225,0.20202327998466352,6.201682814347066,0.1832782964984853,0.6492013795208286,0.6977012087903731
13,40,2,0.05,2.6908228072768114,20;21,1.0,0.5,0.13454114036384046,0.030078783615248267,5.9400406082780535,0.08093699247455304,0.4316107120083005,0.8842225576262602
14,40,5,0.125,2.917201467326156,6;12;14;15;30,6.0,0.14285714285714285,0.36465018341576955,0.2299257967601138,6.1589499058075186,0.1740783479264675,0.6929190211616323,0.769776512399084
15,40,9,0.225,1.5110691811582226,5;14;18;19;23;27;31;34;37,4.0,0.2,0.3399905657605999,0.3338795893259303,4.819716084166126,0.11832148409694539,0.35681960389322687,0.744423439838197
