sample_id,n_sites,n_defects,defect_positions,defect_strength,mean_energy,energy_bandwidth,mean_ipr,max_ipr,transport_descriptor
18,40,6,5;9;10;16;25;33,1.684908759616275,0.25273631394244134,4.968357231205513,0.12377822607459624,0.40722392457648865,0.8898552906591198
19,40,3,6;12;30,0.4511866570250028,0.03383899927687521,4.04997398733982,0.046439958159563074,0.12133197019615416,0.9556210007105999
20,40,5,6;17;25;26;27,2.8156494628031705,0.3519561828503965,6.300903428107224,0.13337415082467435,0.3879922522053066,0.882321163997231
21,40,3,6;15;16,2.558102113163665,0.19185765848727493,5.822466177835046,0.1069080642735446,0.6383738011194686,0.9034173950627892
22,40,4,3;13;36;39,3.6434646937596673,0.36434646937596665,6.14974449299155,0.15171198466500607,0.790901254138064,0.8682726352724948
23,40,3,10;17;26,3.137128525466599,0.2352846394099947,5.6730141066661455,0.1327681646776291,0.7110900041717217,0.8827931709085299
24,40,2,27;31,1.1617420911961203,0.058087104559806,4.356175882533866,0.05824808718745391,0.1818816224475763,0.9449580038058352
25,40,1,3,3.6201493465209826,0.09050373366302461,6.128710000270794,0.06777319222054204,0.7731328009920286,0.93652847560295
26,40,1,18,0.8892171227013982,0.0222304280675349,4.170809383872915,0.05103715140967955,0.23665931456777514,0.9514411537772693
27,40,5,7;11;21;22;29,2.9059055282086534,0.3632381910260819,6.085861789643881,0.17036447981598854,0.6913625644826394,0.8544346801752098
28,40,4,5;11;15;24,0.42933285244556746,0.04293328524455679,4.057177370962483,0.048057845948093036,0.08260475266165782,0.954145807758713
29,40,5,1;6;14;19;29,0.5032715741179514,0.06290894676474394,4.050887714899886,0.050183280614154245,0.10788621301045982,0.9522147404738659
30,40,2,22;31,3.707968461669509,0.18539842308347548,6.194767474909822,0.08467593154348296,0.39050065266669537,0.9219343500846469
31,40,6,11;12;16;20;23;38,3.152667386276116,0.47290010794141735,6.352963193208467,0.17552875298164128,0.7449743139152032,0.8506810211690478
32,40,1,3,1.9979674902688254,0.04994918725672067,4.818719275232149,0.05603621180259335,0.5335374720058894,0.9469372250910385
33,40,5,6;16;17;22;35,1.3931190896359535,0.17413988620449425,4.763378611859832,0.10855306685754514,0.3784750252941976,0.9020767971304573
34,40,4,11;17;19;32,3.59502701017509,0.35950270101750903,6.252165350166849,0.16949807177176424,0.7706026845020378,0.855067677439623
35,40,4,5;11;12;21,1.1968117569721324,0.11968117569721323,4.627069929275813,0.08157405267035842,0.327698241217647,0.9245783934359783
36,40,2,25;29,3.097725218478862,0.15488626092394306,5.692200758724834,0.08620220672484154,0.3695669700171744,0.9206388956023559
37,40,2,4;24,0.9978345644900352,0.0498917282245017,4.214713328688682,0.06199278169970133,0.2788896418435936,0.9416259858183943
38,40,2,1;5,1.546596907063511,0.07732984535317558,4.549659359575512,0.05638254089740193,0.32631382906788253,0.9466267770295553
39,40,2,18;32,1.3368416820085898,0.06684208410042947,4.380712365806622,0.06581288189251606,0.18585749535607127,0.9382509978903096
40,40,2,25;37,2.1087228040036865,0.10543614020018424,4.8922532582962726,0.08608923457309914,0.5661792496927637,0.9207346580440626
41,40,6,6;8;21;34;35;38,3.5775413383941643,0.5366312007591245,6.745338338016193,0.17668541701780072,0.7810297997158571,0.8498448145421965
42,40,1,29,3.574090714426247,0.08935226786065616,6.084864738132487,0.0775822055604779,0.7686126592413782,0.9280034458994008
43,40,2,4;34,1.3321233021400927,0.0666061651070046,4.392573352120973,0.06576792770486442,0.3674317319229384,0.9382905734023205
44,40,1,30,2.6804789263542683,0.06701197315885668,5.334368400249109,0.06862890039150131,0.6581697791946539,0.935778547289561
45,40,3,3;14;34,1.1235960120991721,0.08426970090743788,4.273355383957861,0.07418855898490333,0.30735016281834304,0.9309352549286032
46,40,1,37,1.0397852425221705,0.02599463106305422,4.219902676916801,0.045628167101621146,0.3149858844585944,0.9563629131872967
47,40,1,4,3.3413394212871337,0.08353348553217833,5.886668721774493,0.06760795674763144,0.7449010396863874,0.9366734236848582
48,40,6,5;6;13;23;26;28,3.1318788691405923,0.46978183037108884,6.308818657859364,0.1915886313666033,0.720718783366583,0.8392157945088188
49,40,2,19;37,0.6612002599498781,0.03306001299749388,4.086901901916469,0.050380094803911465,0.19491026908838274,0.9520363199444325
50,40,6,0;5;6;8;10;39,2.8076234990072573,0.42114352485108864,6.089698735580625,0.1314023679636816,0.7748444946886069,0.883858853680692
51,40,5,7;15;20;32;33,0.6111252310735217,0.07639065388419025,4.18490600006712,0.061986680892543264,0.22349931962421693,0.9416313951880764
52,40,3,4;22;37,1.273699897945665,0.09552749234592486,4.345575531937201,0.08103900260475663,0.37735028040724383,0.925036004797705
53,40,1,19,2.6851704297779713,0.06712926074444932,5.326822994073457,0.07540621366170694,0.6589030691930131,0.9298811809865295
54,40,2,20;37,3.706752874316906,0.18533764371584538,6.190145397557002,0.10931250690919106,0.782454803107761,0.9014592315255132
55,40,3,0;22;23,0.5129998746279378,0.03847499059709534,4.156699334595699,0.04825627083459105,0.19597425681921996,0.9539651970827985
56,40,5,0;5;15;27;38,3.2370075708905857,0.4046259463613232,5.744476768006595,0.18225071751035832,0.8253755839384133,0.8458442741365801
57,40,3,17;24;31,0.5256615873863663,0.03942461905397758,4.067833238616489,0.046976372786859615,0.08322240623238436,0.9551313916838285
58,40,2,10;32,1.0072988936690914,0.05036494468345461,4.222057527550116,0.05966984346183365,0.2698042815058376,0.9436901561085306
59,40,3,20;24;29,2.45211791362103,0.18390884352157721,5.1737082644432695,0.10239444239429299,0.4966017128000965,0.9071163292769308
60,40,2,4;16,1.7609401368566886,0.0880470068428344,4.648438623779398,0.08161788085758329,0.4423540607087771,0.9245409286384292
61,40,1,26,3.483213463834067,0.08708033659585164,6.003321841625779,0.07880734242052267,0.7597031200051662,0.92694956798894
62,40,2,17;21,1.0229832156905665,0.05114916078452826,4.276965203087943,0.0597161137481516,0.15636741047412406,0.9436489518528322
63,40,6,4;26;30;35;36;37,3.316190342779731,0.4974285514169597,6.823139356792628,0.16689154247167953,0.7421506640535995,0.8569776741048494
64,40,2,12;36,3.691784842701056,0.18458924213505276,6.1823368972859924,0.11460876496113297,0.7796645931987659,0.8971757906774317
65,40,4,5;6;11;23,0.18247726371211614,0.018247726371211616,4.012279789908898,0.039282774647697805,0.07527062154488796,0.9622020343202415
66,40,5,1;2;6;7;32,1.63515878164491,0.20439484770561375,5.0122674929618745,0.07968982096593284,0.44331977555223684,0.9261919308504369
67,40,5,11;19;28;35;36,0.8078437974264439,0.10098047467830544,4.303568280991088,0.06544503175674127,0.27227377404118713,0.9385749336605068
